[INFO] Session log file: dataset/debug/session_20260520_164514.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2616465765, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=168, depth_sets=167, color=1280×720,OBFormat.RGB,ts=2616481160, depth=640×576,OBFormat.Y16,ts=2616481161
[DEBUG] frames: total=169, depth_sets=168, color=1280×720,OBFormat.RGB,ts=2616481260, depth=640×576,OBFormat.Y16,ts=2616481261
[DEBUG] frames: total=170, depth_sets=169, color=1280×720,OBFormat.RGB,ts=2616481359, depth=640×576,OBFormat.Y16,ts=2616481361
[DEBUG] frames: total=171, depth_sets=170, color=1280×720,OBFormat.RGB,ts=2616481426, depth=640×576,OBFormat.Y16,ts=2616481427
[DEBUG] frames: total=172, depth_sets=171, color=1280×720,OBFormat.RGB,ts=2616481526, depth=640×576,OBFormat.Y16,ts=2616481527
[DEBUG] frames: total=173, depth_sets=172, color=1280×720,OBFormat.RGB,ts=2616481592, depth=640×576,OBFormat.Y16,ts=2616481593
[DEBUG] frames: total=174, depth_sets=173, color=1280×720,OBFormat.RGB,ts=2616481692, depth=640×576,OBFormat.Y16,ts=2616481693
[DEBUG] frames: total=175, depth_sets=174, color=1280×720,OBFormat.RGB,ts=2616481792, depth=640×576,OBFormat.Y16,ts=2616481793
[DEBUG] frames: total=176, depth_sets=175, color=1280×720,OBFormat.RGB,ts=2616481858, depth=640×576,OBFormat.Y16,ts=2616481859
[DEBUG] frames: total=177, depth_sets=176, color=1280×720,OBFormat.RGB,ts=2616481958, depth=640×576,OBFormat.Y16,ts=2616481959
[DEBUG] frames: total=178, depth_sets=177, color=1280×720,OBFormat.RGB,ts=2616482024, depth=640×576,OBFormat.Y16,ts=2616482026
[DEBUG] frames: total=179, depth_sets=178, color=1280×720,OBFormat.RGB,ts=2616482124, depth=640×576,OBFormat.Y16,ts=2616482125
[DEBUG] frames: total=180, depth_sets=179, color=1280×720,OBFormat.RGB,ts=2616482191, depth=640×576,OBFormat.Y16,ts=2616482192
[DEBUG] frames: total=181, depth_sets=180, color=1280×720,OBFormat.RGB,ts=2616482291, depth=640×576,OBFormat.Y16,ts=2616482292
[DEBUG] frames: total=182, depth_sets=181, color=1280×720,OBFormat.RGB,ts=2616482357, depth=640×576,OBFormat.Y16,ts=2616482358
[DEBUG] frames: total=183, depth_sets=182, color=1280×720,OBFormat.RGB,ts=2616482457, depth=640×576,OBFormat.Y16,ts=2616482458
[DEBUG] frames: total=184, depth_sets=183, color=1280×720,OBFormat.RGB,ts=2616482523, depth=640×576,OBFormat.Y16,ts=2616482524
[DEBUG] frames: total=185, depth_sets=184, color=1280×720,OBFormat.RGB,ts=2616482623, depth=640×576,OBFormat.Y16,ts=2616482624
[DEBUG] frames: total=186, depth_sets=185, color=1280×720,OBFormat.RGB,ts=2616482723, depth=640×576,OBFormat.Y16,ts=2616482724
