[INFO] Session log file: dataset/debug/session_20260519_132034.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517784909, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785009, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785109, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=4, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785142, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=162, depth_sets=157, color=1280×720,OBFormat.RGB,ts=2517798875, depth=640×576,OBFormat.Y16,ts=2517798876
****[DEBUG] RGB shape: (720, 1280, 3), Depth shape: (576, 640)
[DEBUG] RGB shape: (720, 510, 3)
[DEBUG] Depth shape: (576, 640)
[DEBUG] Depth dtype: uint16
[DEBUG] Depth min/max: 0, 1513
[DEBUG] Valid depth pixels: 258654
[DEBUG] Valid depth pixels after filtering: 258648
[DEBUG] Full point cloud has 258648 points.
[INFO] Plane equation: 0.01x + -0.16y + 0.99z + -0.48 = 0
[DEBUG] Plane inliers: 214098
[DEBUG] Non-plane points: 44550
[DEBUG] Residual stats: median=0.0019, mad=0.0013, adaptive_threshold=0.0120
[DEBUG] Mask projection: base_threshold=0.0120, adaptive_threshold=0.0120, projected foreground=42212
[DEBUG] Mask cleanup: raw foreground=42212
[DEBUG] Mask cleanup: after morphology=44674
[DEBUG] Mask cleanup candidate: idx=5 area=23107 bbox=(504, 105, 132, 363) centroid=(578.9, 283.6) touches_border=False strip_like=False mean_residual=0.1486 max_residual=0.4842 residual_ok=True score=88.8807
